"code","name"
0,""
1,"0"
2,"1"
3,"1a"
4,"1a1"
5,"1a2"
6,"1b"
7,"1b1"
8,"1b2"
9,"1c"
10,"1d"
11,"2"
12,"2a"
13,"2a1"
14,"2a2"
15,"2b"
16,"2c"
17,"2d"
18,"3"
19,"3a"
20,"3b"
21,"3c"
22,"3d"
23,"4"
24,"4a"
25,"4b"
26,"4c"
27,"4d"
28,"4e"
29,p1
30,p2
31,p3
32,p4
33,x
